gene_id,COOY,CYOO,CYOY,XLOOO,XLOOY,XLOOY2,XLOOY3,XLYOY
ENSMUSG00000098104|Gm6085,241,187,164,227,238,202,249,281
ENSMUSG00000067851|Arfgef1,1615,4673,3427,3093,3616,3073,1588,3883
ENSMUSG00000102556|Gm37569,0,0,0,0,7,0,0,0
ENSMUSG00000016918|Sulf1,239,134,97,45,83,56,50,46
ENSMUSG00000025916|Ppp1r42,166,129,32,165,150,78,87,157
ENSMUSG00000087199|Gm15818,0,0,0,0,0,0,0,0
ENSMUSG00000119658|AC102570.1,0,0,0,0,0,0,0,0
ENSMUSG00000025917|Cops5,4166,4641,3504,4573,3297,4378,3371,3600
ENSMUSG00000056763|Cspp1,430,862,815,568,732,457,367,606
ENSMUSG00000102356|1700047N06Rik,0,0,0,0,0,0,0,0
ENSMUSG00000099032|Tcf24,724,1414,671,553,529,459,243,548
ENSMUSG00000104025|E330040D14Rik,34,12,10,7,14,0,2,0
ENSMUSG00000042501|Cpa6,0,5,0,0,0,0,0,4
ENSMUSG00000103810|Gm38005,0,0,0,0,0,0,0,0
ENSMUSG00000083422|Gm15604,0,0,0,0,0,0,0,0
ENSMUSG00000119312|AC102469.1,0,0,0,0,0,0,0,0
ENSMUSG00000081417|Gm15603,3,3,3,0,0,6,0,0
ENSMUSG00000101171|Gm7593,57,52,62,70,44,55,51,70
ENSMUSG00000048960|Prex2,82,486,347,208,310,411,90,247
ENSMUSG00000077318|Gm24173,0,0,0,0,0,0,0,0
ENSMUSG00000101827|Gm28686,0,0,0,0,0,0,0,0
ENSMUSG00000005886|Ncoa2,2606,3522,3076,2674,2826,3195,2565,2897
ENSMUSG00000103506|Gm38376,0,11,0,0,0,0,0,2
ENSMUSG00000103495|Gm37409,0,0,0,0,6,0,0,0
ENSMUSG00000102639|Gm38223,0,0,0,0,0,0,0,4
ENSMUSG00000104170|Gm37702,0,0,0,0,0,0,0,0
ENSMUSG00000087782|Gm23169,0,0,0,0,0,2,0,0
ENSMUSG00000103085|Gm38120,0,16,4,6,0,7,0,7
ENSMUSG00000102664|Gm38380,0,3,3,1,7,3,4,0
ENSMUSG00000025935|Tram1,9669,11233,8048,9146,10714,12011,9520,13481
ENSMUSG00000081201|Smt3h2-ps4,19,46,38,34,36,24,31,30
ENSMUSG00000054493|Gm9947,0,5,2,0,0,9,0,9
ENSMUSG00000025930|Msc,12,6,39,200,186,233,143,176
ENSMUSG00000082193|Rpl5-ps1,321,333,283,292,275,293,282,321
ENSMUSG00000073737|Gm10566,96,97,86,216,265,125,312,289
ENSMUSG00000025925|Terf1,402,895,678,497,521,561,397,496
ENSMUSG00000092083|Kcnb2,11,0,5,0,0,0,0,0
ENSMUSG00000102937|Gm38116,0,0,0,0,0,0,0,0
ENSMUSG00000104149|Gm37138,0,15,0,0,0,3,0,0
ENSMUSG00000088829|Gm25227,0,0,0,0,0,0,0,0
ENSMUSG00000102982|Gm38319,0,93,71,21,6,29,23,41
ENSMUSG00000025937|Lactb2,14686,24251,13881,5887,4733,7939,3479,3399
ENSMUSG00000067813|Xkr9,943,1886,1241,937,812,1062,648,469
ENSMUSG00000025939|Ube2w,581,1114,681,788,804,778,503,1005
ENSMUSG00000102457|Gm38342,0,0,4,0,2,0,0,0
ENSMUSG00000101589|Rbm6-ps1,17,74,45,34,37,72,26,33
ENSMUSG00000100053|Gm28154,0,0,0,0,0,0,0,0
ENSMUSG00000067780|Pi15,8,43,35,17,17,41,78,161
ENSMUSG00000100204|Gm4849,40,49,26,69,46,47,30,46
ENSMUSG00000100868|Gm28095,0,0,0,0,0,0,0,0
ENSMUSG00000025920|Stau2,354,528,366,391,281,421,274,352
ENSMUSG00000089982|Gm7568,0,0,0,0,0,3,0,0
ENSMUSG00000089787|Gm15825,0,0,0,0,0,0,0,0
ENSMUSG00000042596|Tfap2d,0,0,0,0,0,0,0,0
ENSMUSG00000100720|Gm10075,55,62,46,45,56,45,42,41
ENSMUSG00000101640|Gm28376,0,0,1,0,0,0,0,0
ENSMUSG00000104133|4921511E07Rik,0,0,0,0,0,0,0,0
ENSMUSG00000042686|Jph1,6,0,6,9,9,9,0,15
ENSMUSG00000079658|Eloc,911,1824,1394,1604,1359,1991,902,1991
ENSMUSG00000097744|D030040B21Rik,0,0,0,0,0,0,0,0
ENSMUSG00000100959|Idi1-ps5,0,5,0,0,4,0,0,0
ENSMUSG00000025940|Tmem70,2577,2842,2437,1681,1288,1954,1353,1608
ENSMUSG00000025779|Ly96,110,162,139,286,147,323,172,255
ENSMUSG00000077314|Gm24171,0,0,0,0,0,0,0,0
ENSMUSG00000025931|Paqr8,61,48,45,54,79,52,34,36
ENSMUSG00000041859|Mcm3,909,762,710,1640,1171,1516,1190,826
ENSMUSG00000067795|4930444P10Rik,0,0,0,0,0,0,0,0
ENSMUSG00000043716|Rpl7,21475,26254,19656,25396,22027,24790,19975,25891
ENSMUSG00000025921|Rdh10,1368,1572,1477,1573,1138,1168,1110,1269
ENSMUSG00000041809|Efhc1,22,5,13,27,18,0,0,8
ENSMUSG00000041779|Tram2,1088,922,1183,3279,2801,1681,1265,2835
ENSMUSG00000104095|Gm37315,0,3,0,0,0,0,0,0
ENSMUSG00000089914|4930486I03Rik,0,0,0,0,0,0,0,0
ENSMUSG00000043760|Pkhd1,669,2794,602,179,271,787,412,106
ENSMUSG00000090142|Gm15795,0,0,0,3,3,0,0,0
ENSMUSG00000070175|Gm24162,0,0,0,0,0,0,0,0
ENSMUSG00000067750|Khdc1a,0,0,0,0,0,0,0,2
ENSMUSG00000086194|Gm16329,0,0,0,0,0,0,0,0
ENSMUSG00000094436|Gm16327,0,0,0,0,0,0,0,0
ENSMUSG00000041722|Khdc1c,0,0,0,0,0,0,0,2
ENSMUSG00000085507|Gm2709,0,0,0,0,0,0,0,0
ENSMUSG00000094926|Gm16533,0,0,0,0,0,0,0,0
ENSMUSG00000085079|Khdc1b,0,0,0,0,0,0,0,0
ENSMUSG00000065567|Mir30c-2,0,0,0,0,0,0,0,0
ENSMUSG00000097970|Gm27028,7,19,12,29,13,14,4,7
ENSMUSG00000026158|Ogfrl1,703,1232,720,936,856,2397,2281,1361
ENSMUSG00000102495|Gm26524,0,4,0,0,0,0,0,4
ENSMUSG00000026154|Sdhaf4,1059,1175,751,766,473,850,592,442
ENSMUSG00000041670|Rims1,3,0,4,0,0,0,0,0
ENSMUSG00000097642|Gm26866,0,0,0,0,0,0,0,0
ENSMUSG00000026153|Fam135a,441,1887,1514,968,1036,803,436,1507
ENSMUSG00000026156|B3gat2,7,6,44,38,52,110,70,126
ENSMUSG00000026155|Smap1,1449,1626,1366,2190,1864,2088,1933,2333
ENSMUSG00000028033|Kcnq5,0,10,8,50,32,22,28,20
ENSMUSG00000104138|Gm36949,0,0,0,0,0,0,0,0
ENSMUSG00000103748|Gm38243,0,0,0,0,0,0,0,0
ENSMUSG00000082935|Gm7658,350,461,388,475,463,458,355,513
ENSMUSG00000100819|Gm2693,0,5,5,0,0,0,5,0
ENSMUSG00000102633|Gm38224,0,0,0,0,0,0,0,0
ENSMUSG00000096375|Gm7094,0,0,0,0,0,0,0,0
ENSMUSG00000025936|Gm4956,11,23,5,0,0,17,0,0
ENSMUSG00000025933|Tmem14a,193,130,213,92,63,72,66,14
ENSMUSG00000025934|Gsta3,61020,59616,48131,39053,23394,52002,29221,12573
ENSMUSG00000099343|Gm28836,13,45,40,23,15,23,25,9
ENSMUSG00000101372|Gm19028,7,9,24,27,21,0,22,25
ENSMUSG00000081557|Gm5697,17,13,0,29,14,28,15,10
ENSMUSG00000086240|Gm7846,65,68,42,86,70,80,46,55
ENSMUSG00000099492|Gm5525,46,21,9,26,30,21,15,16
ENSMUSG00000100261|Gm6473,220,137,31,32,19,70,15,17
ENSMUSG00000101033|Gm18776,0,0,0,0,0,0,0,0
ENSMUSG00000101514|Gm5524,1758,2510,1273,392,446,640,203,40
ENSMUSG00000100481|Gm7114,70,57,8,8,9,79,44,95
ENSMUSG00000070960|Gm19680,683,573,364,271,297,407,235,226
ENSMUSG00000048874|Phf3,1543,3354,2332,3301,3731,3137,2233,4399
ENSMUSG00000103783|Gm37522,0,4,4,4,6,0,0,6
ENSMUSG00000104315|Gm37906,0,12,11,0,3,6,0,2
ENSMUSG00000086727|4931428L18Rik,42,11,0,37,30,16,42,27
ENSMUSG00000100237|Gm28644,0,0,0,13,26,16,34,37
ENSMUSG00000100910|Gm29128,0,0,0,0,0,0,0,0
ENSMUSG00000099796|Gm7893,0,0,0,0,0,0,0,0
ENSMUSG00000050217|Lgsn,0,0,0,0,0,0,0,0
ENSMUSG00000026064|Ptp4a1,103,491,219,1398,1310,1285,488,2336
ENSMUSG00000117310|Ptp4a1,1325,2523,1972,17798,12821,17723,18822,33417
ENSMUSG00000103072|Gm37905,0,0,0,0,0,2,0,0
ENSMUSG00000042215|Bag2,233,208,102,206,184,346,474,210
ENSMUSG00000004768|Rab23,637,684,661,327,407,342,224,270
ENSMUSG00000081402|Gm15455,9,3,0,7,7,4,6,0
ENSMUSG00000042182|Bend6,29,34,28,29,23,97,16,10
ENSMUSG00000104416|Gm37067,0,0,0,0,0,0,0,0
ENSMUSG00000042197|Zfp451,431,980,644,900,1010,787,633,1052
ENSMUSG00000026134|Prim2,424,423,308,445,256,527,202,264
ENSMUSG00000101682|Gm29228,0,0,0,0,0,0,0,0
ENSMUSG00000102714|Gm37618,0,0,0,0,0,0,0,0
ENSMUSG00000102093|Gm17813,0,0,0,0,0,0,0,0
ENSMUSG00000103746|1700001G17Rik,35,22,21,11,6,0,3,0
ENSMUSG00000101223|4930568A12Rik,0,0,0,0,0,0,0,0
ENSMUSG00000026126|Ptpn18,85,51,62,639,506,661,308,336
ENSMUSG00000100280|Gm28417,11,4,3,8,6,4,3,9
ENSMUSG00000092852|Mir5103,0,1,1,1,1,1,0,0
ENSMUSG00000026127|Imp4,2522,2104,2018,2466,1775,2468,1676,2311
ENSMUSG00000102336|Gm37233,17,50,45,50,32,83,6,48
ENSMUSG00000042111|Ccdc115,542,752,594,1515,1370,1654,1104,1188
ENSMUSG00000101711|Gm28306,5,0,0,3,3,8,0,4
ENSMUSG00000103548|Gm37670,5,7,6,5,0,18,0,3
ENSMUSG00000103760|Gm8009,4,0,8,9,11,6,16,0
ENSMUSG00000026123|Plekhb2,1852,1551,743,1865,1334,2228,1332,1754
ENSMUSG00000026131|Dst,4224,7476,6256,11088,10717,11382,10096,13250
ENSMUSG00000103596|Gm37354,0,0,0,0,0,5,0,0
ENSMUSG00000099382|Gm28631,0,0,0,0,0,0,0,0
ENSMUSG00000084506|Gm23792,0,0,0,0,0,0,0,0
ENSMUSG00000103364|Gm38157,0,0,0,0,0,0,4,4
ENSMUSG00000105982|Mir6896,0,0,0,0,0,0,0,0
ENSMUSG00000096992|Gm26788,0,0,4,10,0,5,13,19
ENSMUSG00000103001|A930005N03Rik,0,0,0,1,0,0,0,6
ENSMUSG00000037509|Arhgef4,21,6,2,27,55,36,33,19
ENSMUSG00000102537|Gm37224,0,0,0,0,0,0,0,0
ENSMUSG00000102612|Gm37845,0,0,0,0,0,0,0,0
ENSMUSG00000118272|SMIM39,0,0,0,0,1,0,1,0
ENSMUSG00000104002|Gm38336,0,27,23,14,22,9,0,12
ENSMUSG00000037503|Fam168b,4588,5097,3797,5351,4721,5969,4236,5577
ENSMUSG00000104358|Gm37127,0,3,16,16,16,13,7,16
ENSMUSG00000102202|Gm33280,28,33,52,41,13,139,20,12
ENSMUSG00000104523|Gm37335,0,0,0,0,0,0,0,0
ENSMUSG00000045216|Hs6st1,11411,12115,11433,13817,8996,17429,12065,8345
ENSMUSG00000047180|Neurl3,612,562,342,3305,892,1561,4417,4288
ENSMUSG00000037447|Arid5a,216,218,119,2199,1468,1401,2842,3830
ENSMUSG00000037408|Cnnm4,157,263,179,621,376,480,515,630
ENSMUSG00000104316|Gm37909,3,0,0,0,5,18,0,4
ENSMUSG00000037470|Uggt1,7755,6439,5978,4632,3674,5315,3428,4212
ENSMUSG00000098752|Mir6897,0,0,0,0,0,0,0,0
ENSMUSG00000037432|Fer1l5,116,143,105,20,27,26,4,20
ENSMUSG00000001143|Lman2l,961,1251,1006,544,366,640,341,358
ENSMUSG00000010453|Kansl3,3289,4340,3087,4832,3640,4167,4056,5463
ENSMUSG00000098680|Mir6898,0,0,0,0,0,0,0,0
ENSMUSG00000001138|Cnnm3,1321,1116,876,1162,634,749,942,646
ENSMUSG00000102845|Gm38033,0,0,0,0,0,0,0,0
ENSMUSG00000067653|Ankrd23,54,110,113,94,95,84,100,109
ENSMUSG00000109510|Gm42417,6,0,0,0,0,0,0,0
ENSMUSG00000079610|Ankrd39,304,238,207,335,208,226,306,280
ENSMUSG00000026121|Sema4c,391,307,244,3385,2301,1912,1563,2906
ENSMUSG00000087589|D430040D24Rik,33,22,23,65,54,84,51,48
ENSMUSG00000046337|Fam178b,0,9,0,0,5,13,0,4
ENSMUSG00000089906|Gm6428,0,0,0,0,0,0,0,0
ENSMUSG00000061518|Cox5b,9296,8444,7609,9703,6697,8942,6191,8756
ENSMUSG00000097291|Gm18828,0,0,0,0,0,4,0,0
ENSMUSG00000026117|Zap70,463,571,398,618,701,556,695,450
ENSMUSG00000050122|Vwa3b,12,0,0,0,97,12,60,10
ENSMUSG00000103603|Gm37020,0,0,0,0,0,0,0,0
ENSMUSG00000037351|Actr1b,7024,6078,5550,4935,3486,4812,3361,4275
ENSMUSG00000102416|4933424G06Rik,3,0,0,0,0,0,0,0
ENSMUSG00000104237|Gm33533,0,0,0,0,0,0,0,0
ENSMUSG00000026116|Tmem131,1866,1947,1923,3700,3907,3367,3132,3446
ENSMUSG00000103016|Gm37506,0,0,8,0,0,0,0,6
ENSMUSG00000102930|Gm38115,0,0,0,0,4,0,0,0
ENSMUSG00000103159|F830112A20Rik,0,1,0,0,0,0,4,0
ENSMUSG00000026090|Cracdl,7,23,3,4,8,6,22,15
ENSMUSG00000089767|4930556I23Rik,0,0,0,0,0,0,0,0
ENSMUSG00000104365|4930470B04Rik,0,0,0,0,0,0,0,0
ENSMUSG00000102650|Gm19863,0,0,0,0,0,0,0,0
ENSMUSG00000060771|Tsga10,21,65,49,43,66,78,24,41
ENSMUSG00000097268|Gm26805,0,0,0,0,0,0,0,0
ENSMUSG00000026113|Inpp4a,580,989,696,2022,1447,1656,1820,1992
ENSMUSG00000086064|4930439A04Rik,0,0,0,0,0,0,0,1
ENSMUSG00000102879|Gm37135,0,0,0,0,1,0,0,3
ENSMUSG00000026111|Unc50,1838,2154,1445,2047,1725,2284,1593,1430
ENSMUSG00000026110|Mgat4a,59,84,44,234,202,278,92,213
ENSMUSG00000026112|Coa5,5508,7302,5171,5952,4925,6458,4572,6207
ENSMUSG00000103948|4930594C11Rik,0,0,0,0,0,7,0,0
ENSMUSG00000087233|Gm43213,13,8,14,23,13,5,4,4
ENSMUSG00000037216|Lipt1,558,503,317,227,165,163,133,117
ENSMUSG00000026088|Mitd1,406,613,352,570,656,281,315,720
ENSMUSG00000026087|Mrpl30,4169,4202,3296,3664,2926,3238,3270,3854
ENSMUSG00000026080|Chst10,10,10,8,45,44,31,17,17
ENSMUSG00000103647|Gm37707,0,0,0,0,0,0,0,0
ENSMUSG00000026078|Pdcl3,761,927,630,1590,865,1615,1450,2161
ENSMUSG00000103046|Gm37309,7,19,23,13,11,18,34,42
ENSMUSG00000087374|Gm15457,0,0,0,0,0,0,0,0
ENSMUSG00000026085|Lyg1,0,0,0,0,0,0,0,0
ENSMUSG00000058407|Txndc9,2246,2569,2041,2682,2516,2431,2384,2998
ENSMUSG00000026083|Eif5b,2407,3937,2800,4277,3754,3924,2776,5207
ENSMUSG00000026082|Rev1,330,781,509,733,811,731,578,877
ENSMUSG00000103804|Gm37062,3,10,0,0,1,5,2,11
ENSMUSG00000037138|Aff3,23,18,37,70,61,56,56,31
ENSMUSG00000085391|Gm16150,0,0,0,0,0,0,0,0
ENSMUSG00000085280|Gm16151,0,5,0,0,3,0,0,0
ENSMUSG00000087131|Gm16152,0,0,0,0,0,0,0,0
ENSMUSG00000102984|Gm34727,0,0,0,0,0,0,0,0
ENSMUSG00000026141|Col19a1,0,0,0,0,0,0,0,0
ENSMUSG00000077463|Gm26418,0,0,0,0,0,0,0,0
ENSMUSG00000073725|Lmbrd1,3329,4933,3585,5240,3820,4994,4366,5959
ENSMUSG00000099997|Tubb4b-ps2,18,15,13,21,3,12,6,11
ENSMUSG00000100131|Gm28439,58380,120303,55947,46187,55404,52828,26558,52798
ENSMUSG00000067736|Gm10222,36071,63542,32916,21900,28470,27051,13777,22711
ENSMUSG00000101939|Gm28438,8250,24289,8988,9585,10549,9345,5160,11538
ENSMUSG00000101111|Gm28437,224739,348938,225843,198493,166721,174760,152364,243859
ENSMUSG00000100862|Gm10925,125171,262443,134421,165905,146317,152925,102279,229599
ENSMUSG00000102070|Gm28661,215917,296217,178985,190135,160522,178487,134820,232265
ENSMUSG00000101249|Gm29216,216084,277560,190208,214243,201053,188266,185669,275766
ENSMUSG00000003135|Cnot11,1145,1263,1972,1134,1034,1273,1027,1267
ENSMUSG00000026077|Npas2,54,24,45,82,23,42,199,41
ENSMUSG00000092553|Gm20428,0,0,0,0,0,0,2,0
ENSMUSG00000092563|Gm3617,0,0,0,0,0,0,0,0
ENSMUSG00000073702|Rpl31,9527,10211,7581,13771,10029,13631,8847,12825
ENSMUSG00000003134|Tbc1d8,512,727,584,2249,2634,1466,2724,4986
ENSMUSG00000102607|Gm37265,0,0,0,0,2,3,0,3
ENSMUSG00000102471|Gm5100,8,9,10,8,3,0,1,1
ENSMUSG00000057173|Rfx8,4,7,0,4,0,0,14,19
ENSMUSG00000026073|Il1r2,3,0,0,460,120,108,701,1451
ENSMUSG00000097899|Gm16894,0,0,0,2,2,4,0,6
ENSMUSG00000102975|Gm37347,0,0,0,4,8,0,4,11
ENSMUSG00000077704|Snord89,0,2,2,3,10,4,2,4
ENSMUSG00000048234|Rnf149,5103,6338,5596,15572,9119,9367,14481,20534
ENSMUSG00000064936|Gm23722,0,0,0,2,3,4,1,3
ENSMUSG00000085894|Gm15832,29,57,42,86,61,76,57,133
ENSMUSG00000026074|Map4k4,1037,992,942,4470,3227,2951,3039,5027
ENSMUSG00000070942|Il1rl2,22,3,17,55,77,40,113,79
ENSMUSG00000103230|Gm17970,0,0,0,0,0,0,0,8
ENSMUSG00000026068|Il18rap,21,13,35,641,590,477,413,396
ENSMUSG00000026070|Il18r1,20,62,32,141,209,125,125,93
ENSMUSG00000103270|Gm37915,0,3,0,27,0,0,6,0
ENSMUSG00000041945|Mfsd9,232,179,130,118,95,110,134,79
ENSMUSG00000026072|Il1r1,1065,2621,2024,11507,12656,7806,12414,20574
ENSMUSG00000103560|Gm38070,76,136,102,58,65,31,34,115
ENSMUSG00000060679|Mrps9,1484,1622,1465,1127,1325,1408,1044,1051
ENSMUSG00000077448|Gm23126,0,2,0,0,0,0,0,0
ENSMUSG00000100269|Gm28782,0,0,0,0,0,1,0,0
ENSMUSG00000070939|Tgfbrap1,3394,3663,3217,2267,2549,2329,1950,1761
ENSMUSG00000041878|8430432A02Rik,6,13,0,10,3,0,7,9
ENSMUSG00000010290|AI597479,701,1016,515,707,691,746,485,654
ENSMUSG00000100635|Gm29157,0,0,0,0,0,0,0,0
ENSMUSG00000100764|Gm29155,2,5,3,0,2,0,0,0
ENSMUSG00000026051|Ecrg4,4,0,7,0,4,2,0,4
ENSMUSG00000066877|Nck2,246,295,172,278,387,299,248,243
ENSMUSG00000103422|Gm37536,0,0,0,0,0,6,0,0
ENSMUSG00000103945|Gm38228,0,7,5,0,0,3,4,0
ENSMUSG00000100701|Gm19587,12,4,2,2,5,11,3,4
ENSMUSG00000057363|Uxs1,673,805,676,824,552,1017,615,703
ENSMUSG00000090243|Gm16103,0,0,0,0,0,0,0,0
ENSMUSG00000008136|Fhl2,76,32,52,86,65,53,98,75
ENSMUSG00000094497|Gm8210,7713,6565,5699,8471,5557,8469,5804,7863
ENSMUSG00000041763|Tpp2,1693,3043,2226,2801,2668,2812,1939,3563
ENSMUSG00000101567|Txn-ps1,139,246,199,200,139,212,199,181
ENSMUSG00000026049|Tex30,221,390,294,381,282,380,356,436
ENSMUSG00000101104|Gm29247,0,0,0,0,0,0,0,0
ENSMUSG00000026047|Poglut2,715,764,552,563,353,525,238,425
ENSMUSG00000041684|Bivm,771,1262,817,637,454,508,372,317
ENSMUSG00000026048|Ercc5,877,1310,935,820,724,906,918,977
ENSMUSG00000056870|Gulp1,3,13,11,0,7,6,0,17
ENSMUSG00000102319|Gm37626,0,0,0,0,0,0,0,0
ENSMUSG00000089877|Gm16102,0,0,0,0,0,0,0,0
ENSMUSG00000101701|4930521E06Rik,0,0,0,0,0,0,0,0
ENSMUSG00000103071|Gm38110,3,0,0,0,2,0,0,0
ENSMUSG00000026043|Col3a1,9919,8501,9155,12649,11201,12294,12048,11044
ENSMUSG00000026042|Col5a2,587,587,623,1457,1232,1222,781,1503
ENSMUSG00000104476|Gm38211,0,0,0,0,0,0,0,0
ENSMUSG00000101262|Gm8326,0,4,8,9,0,6,0,3
ENSMUSG00000081185|Gm4852,9,4,4,5,0,2,5,10
ENSMUSG00000100033|Gm8337,3,0,8,19,0,7,7,7
ENSMUSG00000099413|Gm17767,55,110,79,159,153,99,108,262
ENSMUSG00000103424|Gm37535,0,0,0,0,0,0,0,0
ENSMUSG00000026107|Nabp1,416,1206,658,2902,2874,2342,1434,2553
ENSMUSG00000101799|9330175M20Rik,0,0,0,0,0,0,0,0
ENSMUSG00000099741|Gm5253,0,0,5,0,0,0,0,0
ENSMUSG00000045954|Cavin2,660,1553,1066,843,672,1349,494,623
ENSMUSG00000101337|Dnah7c,0,3,0,0,0,13,0,0
ENSMUSG00000025986|Slc39a10,231,270,164,242,431,291,161,260
ENSMUSG00000103129|Gm37393,0,0,0,0,0,0,0,0
ENSMUSG00000100213|Gm28151,3,17,35,11,3,27,4,3
ENSMUSG00000025995|Wdr75,527,771,553,1025,928,838,677,1098
ENSMUSG00000099850|Gm28906,0,0,0,0,0,0,0,0
ENSMUSG00000098549|Gm5269,0,0,0,5,3,0,0,0
ENSMUSG00000099381|Gm18303,0,1,6,0,7,0,0,7
ENSMUSG00000025993|Slc40a1,14919,20957,13951,15820,11610,19581,9529,5241
ENSMUSG00000084817|Gm5526,48,79,38,123,59,94,82,122
ENSMUSG00000018417|Myo1b,5674,10911,8769,8913,7840,8759,5932,5062
ENSMUSG00000101724|Gm29453,0,0,0,0,0,0,0,0
ENSMUSG00000100313|Gm28323,0,7,0,0,0,11,0,7
ENSMUSG00000026103|Gls,164,336,295,1212,1230,974,602,1197
ENSMUSG00000101501|Rps27a-ps1,3,1,0,0,0,0,0,0
ENSMUSG00000100007|Gm5527,176,300,187,214,195,238,147,234
ENSMUSG00000043015|Nemp2,21,64,48,44,46,91,86,57
ENSMUSG00000002881|Nab1,2171,5501,3506,5243,4923,4729,3958,6381
ENSMUSG00000062939|Stat4,6,15,0,225,225,220,119,97
ENSMUSG00000078291|Gm3940,0,0,0,0,3,0,0,3
ENSMUSG00000026104|Stat1,5688,4486,3835,14240,18898,20142,9073,10448
ENSMUSG00000099569|Gm18301,0,0,4,0,6,7,2,7
ENSMUSG00000101628|Gm28177,4,1,3,5,24,10,9,2
ENSMUSG00000109599|Gm31812,86,67,41,13,34,38,25,74
ENSMUSG00000041439|Mfsd6,514,846,581,521,399,462,436,372
ENSMUSG00000100302|Gm29670,0,0,0,0,0,0,0,0
ENSMUSG00000026102|Inpp1,725,1147,809,1055,1042,809,606,802
ENSMUSG00000026100|Mstn,0,0,10,0,0,0,0,0
ENSMUSG00000043629|1700019D03Rik,11,38,14,7,13,13,0,0
